Feature,Dias,Importancia
dias_desde_ultima_falha,30,0.13081509734459995
utilizacao_tendencia_90d,30,0.10013586781358366
p90_utilizacao,30,0.08305645794204752
utilizacao_maxima,30,0.07244110652837961
idade_dias,30,0.0659415142038288
utilizacao_desvio,30,0.06309670601462772
limite_potencia,30,0.06076210364110469
taxa_falhas_ano,30,0.05459426122791412
utilizacao_media,30,0.04704818301556323
delta_utilizacao,30,0.04665173947589521
intervalo_medio_manut,30,0.04382385659700314
num_manutencoes,30,0.04276130433711438
num_falhas_historico,30,0.040977861282916646
taxa_minutos_falha_ano,30,0.039263310500547696
dias_desde_ultima_manut,30,0.039150404482909316
minutos_falha_historico,30,0.033162908901914895
utilizacao_minima,30,0.021593196407602214
taxa_sobrecargas_ano,30,0.014255223627157188
dias_acima_80pct_limite,30,0.0004688966552900434
p90_utilizacao,35,0.09369113419705673
dias_desde_ultima_falha,35,0.09099909540296672
idade_dias,35,0.07098296791712741
utilizacao_tendencia_90d,35,0.06898625327711055
utilizacao_media,35,0.06642325876766647
limite_potencia,35,0.06423191740029348
delta_utilizacao,35,0.05938470755939574
utilizacao_desvio,35,0.0586361532256012
taxa_falhas_ano,35,0.05264148402845057
utilizacao_minima,35,0.052229462862034344
num_falhas_historico,35,0.049353764202390626
minutos_falha_historico,35,0.04885450536305519
intervalo_medio_manut,35,0.04608212417863868
taxa_minutos_falha_ano,35,0.042677212285362094
dias_desde_ultima_manut,35,0.041408079379639105
utilizacao_maxima,35,0.038067438052820424
num_manutencoes,35,0.03206342970168795
taxa_sobrecargas_ano,35,0.022681474752614637
dias_acima_80pct_limite,35,0.0006055374460880637
dias_desde_ultima_falha,40,0.0948775794102545
idade_dias,40,0.08216297418529328
limite_potencia,40,0.07270290040584407
p90_utilizacao,40,0.0715887077391888
utilizacao_media,40,0.0671381398700927
utilizacao_desvio,40,0.06452692357865895
intervalo_medio_manut,40,0.056312100263494674
delta_utilizacao,40,0.05621129273519377
num_manutencoes,40,0.05234532021459876
utilizacao_tendencia_90d,40,0.051668340373687574
taxa_minutos_falha_ano,40,0.049524459078310684
minutos_falha_historico,40,0.04809711123316092
taxa_falhas_ano,40,0.044488258600000226
utilizacao_maxima,40,0.04224344528361413
dias_desde_ultima_manut,40,0.04128623695915803
utilizacao_minima,40,0.03987361972954665
num_falhas_historico,40,0.039585211669284553
taxa_sobrecargas_ano,40,0.023998877125058722
dias_acima_80pct_limite,40,0.0013685015455590372
dias_desde_ultima_falha,45,0.10191827253639939
p90_utilizacao,45,0.07919487437198448
intervalo_medio_manut,45,0.07371801952194953
limite_potencia,45,0.06938552867626552
utilizacao_desvio,45,0.06484818889894194
utilizacao_media,45,0.06477005917823027
idade_dias,45,0.061111597367480695
utilizacao_maxima,45,0.058593346193546385
num_manutencoes,45,0.05690967226506263
utilizacao_tendencia_90d,45,0.04911686564834948
minutos_falha_historico,45,0.046660469860177925
delta_utilizacao,45,0.04464410621799298
utilizacao_minima,45,0.042319788630521764
dias_desde_ultima_manut,45,0.04182165509063762
taxa_falhas_ano,45,0.04092029374527369
taxa_minutos_falha_ano,45,0.039932297389013854
taxa_sobrecargas_ano,45,0.031971494003130686
num_falhas_historico,45,0.030967573817005302
dias_acima_80pct_limite,45,0.0011958965880358205
dias_desde_ultima_falha,50,0.09486717801923117
intervalo_medio_manut,50,0.08254451056864925
idade_dias,50,0.08205608308565436
limite_potencia,50,0.07033042330000566
utilizacao_tendencia_90d,50,0.06528249310996181
utilizacao_media,50,0.061512666963134406
dias_desde_ultima_manut,50,0.05970233938860459
delta_utilizacao,50,0.059377251623245336
utilizacao_maxima,50,0.059338167844581194
p90_utilizacao,50,0.05778991462405795
utilizacao_desvio,50,0.04832406170991334
taxa_falhas_ano,50,0.048159050456473035
num_manutencoes,50,0.04492254092022583
minutos_falha_historico,50,0.03991001651792123
taxa_minutos_falha_ano,50,0.03964239063321186
utilizacao_minima,50,0.03284391666906655
num_falhas_historico,50,0.027597257186015536
taxa_sobrecargas_ano,50,0.023914763369734766
dias_acima_80pct_limite,50,0.0018849740103120897
intervalo_medio_manut,55,0.08913724979973822
dias_desde_ultima_falha,55,0.08562680875573087
idade_dias,55,0.08509546170606512
utilizacao_tendencia_90d,55,0.07875914387801793
limite_potencia,55,0.06839514062883312
dias_desde_ultima_manut,55,0.058621689354320695
utilizacao_maxima,55,0.054688957718582135
delta_utilizacao,55,0.05414058528136175
p90_utilizacao,55,0.04921756209632141
taxa_falhas_ano,55,0.04692171816557818
utilizacao_media,55,0.04680107923520665
minutos_falha_historico,55,0.04534529769931991
taxa_minutos_falha_ano,55,0.0437106731492783
utilizacao_desvio,55,0.04313065442420659
num_manutencoes,55,0.040256874512578554
num_falhas_historico,55,0.03922915022446386
utilizacao_minima,55,0.038467124307911923
taxa_sobrecargas_ano,55,0.031516398525171296
dias_acima_80pct_limite,55,0.0009384305373136197
dias_desde_ultima_falha,60,0.09762409660782466
idade_dias,60,0.08755554758038395
intervalo_medio_manut,60,0.0681178360747613
p90_utilizacao,60,0.0652230500333974
limite_potencia,60,0.064963390399664
delta_utilizacao,60,0.06360776047933607
utilizacao_tendencia_90d,60,0.060356558177726706
dias_desde_ultima_manut,60,0.05559289162510956
utilizacao_media,60,0.055342825276931226
utilizacao_maxima,60,0.052031307156017795
taxa_falhas_ano,60,0.050862776750934625
utilizacao_desvio,60,0.05039338219165759
taxa_minutos_falha_ano,60,0.049441247683922246
utilizacao_minima,60,0.04741009825442476
minutos_falha_historico,60,0.04261065751715511
num_manutencoes,60,0.038122616333267065
num_falhas_historico,60,0.034914013333084117
taxa_sobrecargas_ano,60,0.01525885550892346
dias_acima_80pct_limite,60,0.0005710890154785715
intervalo_medio_manut,65,0.08884525839801598
limite_potencia,65,0.07721095151116038
idade_dias,65,0.0721000682498925
p90_utilizacao,65,0.07099408075698317
dias_desde_ultima_falha,65,0.06610618689600614
utilizacao_media,65,0.06149307872091371
dias_desde_ultima_manut,65,0.05890399145535574
utilizacao_tendencia_90d,65,0.05540145514908433
taxa_minutos_falha_ano,65,0.05431745263297616
utilizacao_maxima,65,0.053721603030025954
utilizacao_desvio,65,0.05195921627746854
delta_utilizacao,65,0.05170041601324039
minutos_falha_historico,65,0.04898012986112838
taxa_falhas_ano,65,0.0477574250370276
utilizacao_minima,65,0.04312557490607285
num_manutencoes,65,0.04067156470904654
num_falhas_historico,65,0.034687538655149945
taxa_sobrecargas_ano,65,0.02144372057048686
dias_acima_80pct_limite,65,0.0005802871699649296
intervalo_medio_manut,70,0.10493769185071843
dias_desde_ultima_falha,70,0.07511583112064757
idade_dias,70,0.07450331597976884
p90_utilizacao,70,0.07101114417152002
utilizacao_tendencia_90d,70,0.06455234411169188
limite_potencia,70,0.06413103076477573
utilizacao_media,70,0.0627258075923977
dias_desde_ultima_manut,70,0.06238853506013501
utilizacao_maxima,70,0.05363295032242814
taxa_falhas_ano,70,0.04996287977823905
taxa_minutos_falha_ano,70,0.04820369129225565
delta_utilizacao,70,0.04818188226317194
utilizacao_desvio,70,0.04722609331303606
utilizacao_minima,70,0.044677157647168446
minutos_falha_historico,70,0.04412022944670226
num_manutencoes,70,0.03672222418146213
num_falhas_historico,70,0.026677108185650632
taxa_sobrecargas_ano,70,0.020760782372791605
dias_acima_80pct_limite,70,0.00046930054543896745
intervalo_medio_manut,75,0.1133868785345194
limite_potencia,75,0.09223463735378773
idade_dias,75,0.06544063797170328
dias_desde_ultima_falha,75,0.06464243590876301
utilizacao_tendencia_90d,75,0.05780517419744003
utilizacao_media,75,0.0537138299775442
p90_utilizacao,75,0.05335878402833606
dias_desde_ultima_manut,75,0.052973153386330345
delta_utilizacao,75,0.05296833689940845
utilizacao_maxima,75,0.05028994569513349
num_manutencoes,75,0.04907207287841611
taxa_falhas_ano,75,0.04551085897633715
taxa_minutos_falha_ano,75,0.04529848812505676
