Dias,AUC_orig,AUC_cal,Brier_orig,Brier_cal,delta_brier
30,0.7365,0.7365,0.0507,0.0344,-0.0163
35,0.7142,0.7142,0.06,0.0424,-0.0177
40,0.7535,0.7535,0.0729,0.0561,-0.0168
45,0.6422,0.6422,0.0858,0.0736,-0.0122
50,0.77,0.77,0.0779,0.0604,-0.0175
55,0.6877,0.6877,0.0978,0.0849,-0.0128
60,0.6038,0.6038,0.0985,0.0929,-0.0057
65,0.5834,0.5834,0.0995,0.084,-0.0155
70,0.581,0.581,0.1163,0.1047,-0.0116
75,0.5862,0.5862,0.1207,0.1064,-0.0143
80,0.5706,0.5706,0.1276,0.1107,-0.0169
85,0.609,0.609,0.1305,0.1255,-0.0051
90,0.607,0.607,0.1311,0.1288,-0.0023
