Modelo,Horizonte,TP,FP,TN,FN,Precision,Recall,F1,Threshold
RF,30,6,30,423,9,0.167,0.4,0.235,0.36
XGBoost,30,5,22,431,10,0.185,0.333,0.238,0.28
Ensemble,30,4,7,446,11,0.364,0.267,0.308,0.36
RF,35,6,8,439,15,0.429,0.286,0.343,0.555
XGBoost,35,7,3,444,14,0.7,0.333,0.452,0.487
Ensemble,35,7,2,445,14,0.778,0.333,0.467,0.45
RF,40,9,28,416,15,0.243,0.375,0.295,0.43
XGBoost,40,3,3,441,21,0.5,0.125,0.2,0.516
Ensemble,40,5,5,439,19,0.5,0.208,0.294,0.38
RF,45,10,50,389,19,0.167,0.345,0.225,0.37
XGBoost,45,7,7,432,22,0.5,0.241,0.326,0.374
Ensemble,45,8,25,414,21,0.242,0.276,0.258,0.31
RF,50,14,41,395,18,0.255,0.438,0.322,0.355
XGBoost,50,18,69,367,14,0.207,0.562,0.303,0.112
Ensemble,50,14,47,389,18,0.23,0.438,0.301,0.24
RF,55,14,40,394,20,0.259,0.412,0.318,0.41
XGBoost,55,7,14,420,27,0.333,0.206,0.255,0.386
Ensemble,55,18,53,381,16,0.254,0.529,0.343,0.25
RF,60,7,26,406,29,0.212,0.194,0.203,0.44
XGBoost,60,20,105,327,16,0.16,0.556,0.248,0.04
Ensemble,60,8,29,403,28,0.216,0.222,0.219,0.28
RF,65,14,82,348,24,0.146,0.368,0.209,0.3
XGBoost,65,10,29,401,28,0.256,0.263,0.26,0.273
Ensemble,65,9,15,415,29,0.375,0.237,0.29,0.4
RF,70,19,131,297,21,0.127,0.475,0.2,0.28
XGBoost,70,22,130,298,18,0.145,0.55,0.229,0.15
Ensemble,70,26,178,250,14,0.127,0.65,0.213,0.17
RF,75,27,164,260,17,0.141,0.614,0.23,0.25
XGBoost,75,19,61,363,25,0.238,0.432,0.306,0.261
Ensemble,75,22,91,333,22,0.195,0.5,0.28,0.26
RF,80,18,87,334,29,0.171,0.383,0.237,0.365
XGBoost,80,18,53,368,29,0.254,0.383,0.305,0.116
Ensemble,80,23,117,304,24,0.164,0.489,0.246,0.19
RF,85,37,204,213,14,0.154,0.725,0.253,0.225
XGBoost,85,11,25,392,40,0.306,0.216,0.253,0.481
Ensemble,85,15,36,381,36,0.294,0.294,0.294,0.39
RF,90,44,245,169,10,0.152,0.815,0.257,0.18
XGBoost,90,17,40,374,37,0.298,0.315,0.306,0.377
Ensemble,90,12,21,393,42,0.364,0.222,0.276,0.45
