Dias,ROC-AUC,Precision,Recall,F1-Score,Accuracy,Falhas,% Falhas
30,0.7364974245768948,0.08333333333333333,0.06666666666666667,0.07407407407407407,0.9465811965811965,50,3.207184092366902
35,0.7141791839778417,0.35294117647058826,0.2857142857142857,0.31578947368421056,0.9444444444444444,70,4.490057729313662
40,0.7534722222222222,0.2692307692307692,0.2916666666666667,0.27999999999999997,0.9230769230769231,79,5.067350865939705
45,0.6421726494383785,0.20833333333333334,0.1724137931034483,0.18867924528301888,0.9081196581196581,97,6.221937139191789
50,0.7700329701834863,0.5384615384615384,0.21875,0.3111111111111111,0.9337606837606838,107,6.8633739576651696
55,0.687686364868528,0.16666666666666666,0.14705882352941177,0.15625,0.8846153846153846,114,7.312379730596537
60,0.603780864197531,0.2,0.1388888888888889,0.1639344262295082,0.8910256410256411,121,7.761385503527903
65,0.5833843329253365,0.2608695652173913,0.15789473684210525,0.19672131147540983,0.8952991452991453,125,8.017960230917256
70,0.5810455607476636,0.09375,0.075,0.08333333333333331,0.8589743589743589,132,8.46696600384862
75,0.5862457118353345,0.10714285714285714,0.06818181818181818,0.08333333333333331,0.8589743589743589,146,9.364977549711353
80,0.5706271794612624,0.21428571428571427,0.19148936170212766,0.20224719101123598,0.8482905982905983,155,9.942270686337395
85,0.6089716462124417,0.11764705882352941,0.0784313725490196,0.09411764705882353,0.8354700854700855,169,10.840282232200128
90,0.6070182501341922,0.2,0.12962962962962962,0.15730337078651685,0.8397435897435898,180,11.545862732520847
