Dias,ROC-AUC,Precision,Recall,F1-Score,Accuracy,Falhas,% Falhas
30,0.769757174392936,0.5,0.13333333333333333,0.2105263157894737,0.967948717948718,50,3.207184092366902
35,0.7843826568658783,0.6666666666666666,0.2857142857142857,0.4,0.9615384615384616,70,4.490057729313662
40,0.6983858858858859,0.5714285714285714,0.16666666666666666,0.25806451612903225,0.9508547008547008,79,5.067350865939705
45,0.7431073756971173,0.375,0.10344827586206896,0.16216216216216217,0.9337606837606838,97,6.221937139191789
50,0.7400372706422018,0.36363636363636365,0.125,0.18604651162790697,0.9252136752136753,107,6.8633739576651696
55,0.7259419896991055,0.3333333333333333,0.11764705882352941,0.1739130434782609,0.9188034188034188,114,7.312379730596537
60,0.6553497942386831,0.42857142857142855,0.08333333333333333,0.13953488372093023,0.9209401709401709,121,7.761385503527903
65,0.628702570379437,0.3888888888888889,0.18421052631578946,0.25,0.9102564102564102,125,8.017960230917256
70,0.6265771028037382,0.047619047619047616,0.025,0.03278688524590165,0.8739316239316239,132,8.46696600384862
75,0.6422598627787308,0.225,0.20454545454545456,0.2142857142857143,0.8589743589743589,146,9.364977549711353
80,0.5957446808510638,0.3,0.06382978723404255,0.10526315789473684,0.8910256410256411,155,9.942270686337395
85,0.5860252974091315,0.3333333333333333,0.21568627450980393,0.26190476190476186,0.8675213675213675,169,10.840282232200128
90,0.6413490785471462,0.375,0.2222222222222222,0.27906976744186046,0.8675213675213675,180,11.545862732520847
