,RF AUC,XGB AUC,ΔAuC,RF F1(opt),XGB F1(opt),RF Rec(opt),XGB Rec(opt)
30,0.681,0.691,0.01,0.186,0.171,0.267,0.2
35,0.668,0.751,0.083,0.348,0.273,0.381,0.286
40,0.724,0.659,-0.065,0.281,0.175,0.333,0.208
45,0.636,0.635,-0.001,0.222,0.195,0.414,0.276
50,0.698,0.643,-0.055,0.27,0.198,0.531,0.531
55,0.638,0.65,0.012,0.254,0.219,0.441,0.471
60,0.609,0.565,-0.045,0.208,0.254,0.361,0.194
65,0.554,0.651,0.096,0.188,0.231,0.29,0.737
70,0.543,0.589,0.046,0.178,0.222,0.65,0.225
75,0.582,0.623,0.041,0.238,0.268,0.568,0.432
80,0.552,0.569,0.018,0.225,0.216,0.383,0.319
85,0.581,0.553,-0.028,0.243,0.256,0.49,0.333
90,0.616,0.599,-0.016,0.268,0.246,0.833,0.426
Média,0.622,0.629,0.007,0.239,0.225,0.457,0.357
