periodo_dias,threshold_padrao,recall_padrao,precision_padrao,f1_padrao,threshold_recall_minimo,recall_recall_minimo,precision_recall_minimo,f1_recall_minimo,threshold_f1_max,recall_f1_max,precision_f1_max,f1_f1_max
30,0.5,0.0667,0.0556,0.0606,0.1325,0.6667,0.0592,0.1087,0.4348,0.2667,0.1429,0.186
35,0.5,0.1905,0.25,0.2162,0.1945,0.5238,0.0866,0.1486,0.435,0.381,0.32,0.3478
40,0.5,0.25,0.2143,0.2308,0.26,0.5417,0.1262,0.2047,0.47,0.3333,0.2424,0.2807
45,0.5,0.2069,0.1765,0.1905,0.27,0.5172,0.1304,0.2083,0.33,0.4138,0.1519,0.2222
50,0.5,0.1562,0.2,0.1754,0.295,0.5312,0.1809,0.2698,0.295,0.5312,0.1809,0.2698
55,0.5,0.0588,0.0625,0.0606,0.34,0.5,0.1667,0.25,0.36,0.4412,0.1786,0.2542
60,0.5,0.0833,0.1111,0.0952,0.175,0.6389,0.1179,0.1991,0.29,0.3611,0.1461,0.208
65,0.5,0.1316,0.2,0.1587,0.125,0.7105,0.0928,0.1641,0.305,0.2895,0.1392,0.188
70,0.5,0.1,0.1,0.1,0.205,0.55,0.1048,0.176,0.17,0.65,0.1032,0.1781
75,0.5,0.0,0.0,0.0,0.26,0.5682,0.1506,0.2381,0.26,0.5682,0.1506,0.2381
80,0.5,0.1489,0.1522,0.1505,0.185,0.6383,0.1141,0.1935,0.335,0.383,0.1593,0.225
85,0.5,0.0784,0.0909,0.0842,0.28,0.5098,0.1469,0.2281,0.295,0.4902,0.1613,0.2427
90,0.5,0.1296,0.1556,0.1414,0.185,0.8333,0.1596,0.2679,0.185,0.8333,0.1596,0.2679
