periodo_dias,threshold_padrao,recall_padrao,precision_padrao,f1_padrao,threshold_recall_minimo,recall_recall_minimo,precision_recall_minimo,f1_recall_minimo,threshold_f1_max,recall_f1_max,precision_f1_max,f1_f1_max
30,0.5,0.0667,0.0833,0.0741,0.11,0.8,0.0622,0.1154,0.3598,0.4,0.1667,0.2353
35,0.5,0.2857,0.3529,0.3158,0.265,0.5238,0.131,0.2095,0.555,0.2857,0.4286,0.3429
40,0.5,0.2917,0.2593,0.2745,0.29,0.5417,0.1512,0.2364,0.43,0.375,0.2432,0.2951
45,0.5,0.1724,0.1923,0.1818,0.24,0.5172,0.1154,0.1887,0.37,0.3448,0.1667,0.2247
50,0.5,0.2188,0.5385,0.3111,0.31,0.5,0.1839,0.2689,0.3549,0.4688,0.2679,0.3409
55,0.5,0.1471,0.1667,0.1562,0.285,0.5294,0.1463,0.2293,0.41,0.4118,0.2593,0.3182
60,0.5,0.1389,0.1923,0.1613,0.18,0.6111,0.1164,0.1956,0.44,0.1944,0.2121,0.2029
65,0.5,0.1579,0.2609,0.1967,0.215,0.5,0.1086,0.1784,0.3,0.3684,0.1458,0.209
70,0.5,0.075,0.0882,0.0811,0.265,0.5,0.1227,0.197,0.28,0.475,0.1267,0.2
75,0.5,0.0682,0.1071,0.0833,0.25,0.6136,0.1414,0.2298,0.25,0.6136,0.1414,0.2298
80,0.5,0.1915,0.2143,0.2022,0.2534,0.5319,0.1323,0.2119,0.365,0.383,0.1714,0.2368
85,0.5,0.0784,0.1176,0.0941,0.225,0.7255,0.1535,0.2534,0.225,0.7255,0.1535,0.2534
90,0.5,0.1296,0.1944,0.1556,0.235,0.6481,0.1528,0.2473,0.18,0.8148,0.1522,0.2566
