periodo_dias,threshold_padrao,recall_padrao,precision_padrao,f1_padrao,threshold_recall_minimo,recall_recall_minimo,precision_recall_minimo,f1_recall_minimo,threshold_f1_max,recall_f1_max,precision_f1_max,f1_f1_max
30,0.5,0.1333,0.5,0.2105,0.1365,0.5333,0.1143,0.1882,0.2801,0.3333,0.1852,0.2381
35,0.5,0.2857,0.6667,0.4,0.0395,0.5238,0.1594,0.2444,0.4871,0.3333,0.7,0.4516
40,0.5,0.1667,0.5714,0.2581,0.0145,0.5417,0.1413,0.2241,0.5164,0.1667,0.5714,0.2581
45,0.5,0.1034,0.375,0.1622,0.0558,0.6207,0.1915,0.2927,0.3741,0.2414,0.5,0.3256
50,0.5,0.125,0.3636,0.186,0.1121,0.5938,0.2159,0.3167,0.1121,0.5938,0.2159,0.3167
55,0.5,0.1176,0.3333,0.1739,0.0598,0.5882,0.1562,0.2469,0.3857,0.2059,0.3333,0.2545
60,0.5,0.0833,0.4286,0.1395,0.0401,0.5833,0.1667,0.2593,0.0401,0.5833,0.1667,0.2593
65,0.5,0.1842,0.3889,0.25,0.0677,0.5,0.1293,0.2054,0.2726,0.2895,0.275,0.2821
70,0.5,0.025,0.0476,0.0328,0.15,0.55,0.1447,0.2292,0.15,0.55,0.1447,0.2292
75,0.5,0.2045,0.225,0.2143,0.1914,0.5,0.1964,0.2821,0.2608,0.4318,0.2375,0.3065
80,0.5,0.0638,0.3,0.1053,0.0327,0.5106,0.1297,0.2069,0.1165,0.4043,0.2639,0.3193
85,0.5,0.2157,0.3333,0.2619,0.0996,0.5098,0.1347,0.2131,0.4807,0.2353,0.3243,0.2727
90,0.5,0.2222,0.375,0.2791,0.1924,0.5185,0.1892,0.2772,0.3768,0.3333,0.3103,0.3214
